taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
1021	10351		Class	Stylonematophyceae		1		
10361	1021		Order	Rufusiales				
10362	10361		Family	Rufusiaceae				
10363	1021		Order	Stylonematales		1		
10364	10363		Family	Stylonemataceae		1		



2			Kingdom	Protozoa		1		
106	2		Phylum	Euglenozoa				
1022	106		Class	Bodonophyceae				
10365	1022		Order	Bodonales				
10366	1022		Order	Karotomorphales				
10367	10366		Family	Karotomorphaceae				
1023	106		Class	Diplonemea				
10368	1023		Order	Diplonemida				
10369	10368		Family	Rhynchopodaceae				
1024	106		Class	Euglenoidea				
1025		1024	Class	Euglenophyceae		1		
10370	1024		Subclass	Aphagia				
10371	10370		Order	Rhabdomonadida				
10372	1024		Subclass	Euglenia				
10373	10372		Order	Euglenida				
10374	10373		Family	Euglenaceae		1		
10375		10374	Family	Euglenidae				
10376	10373		Family	Petalomonadaceae				
10377	10373		Family	Phacaceae				
10378	10372		Order	Eutreptiida				
10379		10378	Order	Eutreptiales		1		
10380	10378		Family	Astasiaceae		1		
10381	10378		Family	Eutreptiaceae		1		
10382	1024		Subclass	Peranemia				
10383	10382		Order	Peranemida				
10384	10383		Family	Peranemaceae		1		
10385	10382		Order	Ploeotiida				
10386	1024		Subclass	Petalomonadia				
10387	10386		Order	Petalomonadida				
1026		1024	Class	Euglenida		1		
10388	1024		Order	Euglenales		1		
1027	106		Class	Kinetoplastea				
1028		1027	Class	Kinetoplastida		1		
10389	1027		Subclass	Metakinetoplastina				
10390	10389		Order	Bodonida				
10391	10389		Order	Eubodonida				
10392	10391		Family	Bodonaceae				
10393	10391		Family	Cryptobiaceae				
10394	10389		Order	Neobodonida				
10395	10389		Order	Parabodonida				
10396	10395		Family	Bodonidae		1		
10397	10389		Order	Trypanosomatida				
10398	10397		Suborder	Trypanosomatina				
10399	10398		Family	Trypanosomatidae		1	1	1
10400	1027		Subclass	Prokinetoplastina				
10401	10400		Order	Prokinetoplastida				
1029	106		Class	Postgaardea				
10402	1029		Order	Postgaardida				

107	2		Phylum	Loukozoa				
1030	107		Class	Jakobea				
10403	1030		Order	Jakobida				
10404	10403		Family	Histionidae				
10405	10403		Family	Jakobidae				
1031	107		Class	Malawimonadea				
10406	1031		Order	Malawimonadida				
108	2		Phylum	Metamonada				
10407	108		Subphylum	Anaeromonada				
1032	10407		Class	Anaeromonadea				
10408	1032		Order	Oxymonadida				
10409	1032		Order	Trimastigida				
10410	108		Subphylum	Trichozoa				
10411	10410		Superclass	Carpediemonadia				
1033	10411		Class	Carpediemonadea				
10412	1033		Order	Carpediemonadida				
10413	10410		Superclass	Eopharyngia				
1034	10413		Class	Retortamonadea		1	0	1
10414	1034		Order	Retortamonadida		1	0	1
10415	10414		Family	Retortamonadidae		1	0	0
1035	10413		Class	Trepomonadea		1	0	1
10416	1035		Subclass	Diplozoa		1	0	1
10417	10416		Order	Distomatida		1	0	1
10418	10417		Family	Enteromonadidae		1	0	0
10419	10417		Family	Hexamitidae		1	0	1
10420	10416		Order	Giardiida				
10421	1035		Subclass	Enteromonadia				
10422	10421		Order	Enteromonadida				
10423	10410		Superclass	Parabasalia				
1036	10423		Class	Trichomonadea		1	0	1
10424	1036		Order	Lophomonadida				
10425	1036		Order	Spirotrichonymphida				
10426	1036		Order	Trichomonadida		1	0	1
10427	10426		Family	Monocercomonadidae				
1037	10423		Class	Trichonymphea				
10428	1037		Order	Trichonymphida				



3			Kingdom	Chromista		1		
109	3		Phylum	Cryptophyta		1		
10429		109	Subkingdom	Cryptista		1		
10430	109		Subphylum	Cryptomonada		1		
1038	109		Class	Cryptophyceae		1		
10431	1038		Order	Cryptomonadales		1		
10432		10431	Order	Cryptomonadida				
10433		10431	Family	Cyathomonadidae				
